AFM Industries,5,153,2,3,0.57%
AFM Industries,0,386,1,4,0.27%
AFM Industries,6,254,4,5,0.69%
AFM Industries,10,168,2,2,0.32%
AFM Industries,3,313,4,1,0.33%
AFM Industries,8,404,2,5,0.38%
AFM Industries,26,322,3,1,0.06%
AFM Industries,2,330,5,1,0.08%
AFM Industries,3,491,1,5,0.17%
AFM Industries,9,206,4,5,0.69%
AFM Industries,8,452,7,1,0.43%
AFM Industries,14,173,6,3,0.42%
AFM Industries,27,283,6,2,0.89%
AFM Industries,2,149,6,2,0.11%
AFM Industries,8,280,6,4,0.92%
AFM Industries,1,310,5,1,0.89%
AFM Industries,18,487,7,3,0.94%
AFM Industries,5,345,8,1,0.76%
AFM Industries,3,53,1,3,0.07%
AFM Industries,16,97,9,3,0.40%
AFM Industries,24,356,8,5,0.88%
AFM Industries,15,489,9,4,0.01%
AFM Industries,20,275,10,2,0.18%
AFM Industries,18,126,8,1,0.85%
AFM Industries,9,320,7,2,0.77%
AFM Industries,13,255,8,1,0.02%
AFM Industries,4,375,8,5,0.26%
AFM Industries,15,493,5,4,0.06%
AFM Industries,20,423,2,2,0.63%
AFM Industries,25,204,5,5,0.97%
AFM Industries,14,446,1,1,0.23%
AFM Industries,15,488,3,5,0.66%
AFM Industries,20,453,1,5,0.78%
AFM Industries,1,273,4,4,0.32%
AFM Industries,17,257,9,3,0.45%
AFM Industries,28,21,10,5,0.31%
AFM Industries,8,467,7,2,0.83%
AFM Industries,24,114,6,2,0.11%
AFM Industries,8,378,9,3,0.54%
AFM Industries,25,276,8,1,0.86%
AFM Industries,16,28,10,5,0.83%
AFM Industries,26,67,3,5,0.16%
AFM Industries,16,394,8,4,0.50%
AFM Industries,27,243,1,1,0.57%
AFM Industries,1,271,6,3,0.28%
AFM Industries,13,49,4,2,0.71%
AFM Industries,24,439,10,1,0.26%
AFM Industries,26,141,3,1,0.70%
AFM Industries,25,91,9,4,0.64%
AFM Industries,20,157,8,4,0.39%
AFM Industries,10,161,5,3,0.58%
AFM Industries,18,492,2,5,0.71%
AFM Industries,8,77,8,2,0.54%
AFM Industries,5,134,3,3,0.62%
AFM Industries,1,403,8,3,0.59%
AFM Industries,0,98,1,3,0.99%
AFM Industries,3,500,3,1,0.87%
AFM Industries,3,319,1,3,0.61%
AFM Industries,17,132,5,3,0.85%
AFM Industries,15,255,4,2,0.78%
AFM Industries,5,182,3,3,0.78%
AFM Industries,13,356,3,1,0.98%
AFM Industries,17,200,6,5,0.68%
AFM Industries,24,152,8,1,0.00%
AFM Industries,3,280,5,4,0.72%
AFM Industries,26,283,9,4,0.72%
AFM Industries,15,437,6,1,0.40%
AFM Industries,11,195,2,2,0.62%
AFM Industries,11,21,3,5,0.71%
AFM Industries,10,415,9,5,0.35%
AFM Industries,28,450,5,4,0.60%
AFM Industries,22,232,9,5,0.36%
AFM Industries,8,170,1,5,0.90%
AFM Industries,4,310,5,1,0.78%
AFM Industries,11,74,10,3,0.16%
AFM Industries,8,293,1,3,0.43%
AFM Industries,13,448,9,4,0.61%
AFM Industries,16,166,3,3,0.99%
AFM Industries,12,268,10,4,0.45%
AFM Industries,3,39,8,3,0.75%
AFM Industries,21,465,4,3,0.58%
AFM Industries,23,148,3,5,0.52%
AFM Industries,26,312,1,3,0.69%
AFM Industries,17,373,6,4,0.51%
AFM Industries,16,348,7,5,0.97%
AFM Industries,22,311,3,2,0.48%
AFM Industries,25,272,6,1,0.48%
